ACC	CCDC127	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	586	NM_145265	chr5	-	204874	218297	205411	216964	3	CCDC127
ACC	SLC9A3	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	73	NM_001284351	chr5	-	472100	524549	473493	524437	17	SLC9A3
ACC	MIR4456	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	589	NR_039661	chr5	-	535954	535997	535997	535997	1	MIR4456
ACC	TPPP	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	590	NM_007030	chr5	-	659976	693510	665216	678175	4	TPPP
ACC	ZDHHC11	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	591	NM_024786	chr5	-	795719	851101	801221	850717	13	ZDHHC11
ACC	BRD9	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	591	NR_134296	chr5	-	863849	892637	892637	892637	17	BRD9
ACC	MIR4635	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	593	NR_039778	chr5	-	1063010	1063089	1063089	1063089	1	MIR4635
ACC	SLC12A7	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	593	NM_006598	chr5	-	1050488	1112172	1052474	1112106	24	SLC12A7
ACC	TERT	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	594	NM_001193376	chr5	-	1253286	1295162	1253842	1295104	15	TERT
ACC	PLEKHG4B	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	586	NM_052909	chr5	+	140372	190087	140422	182438	18	PLEKHG4B
ACC	LRRC14B	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	586	NM_001080478	chr5	+	191625	195468	191653	195468	2	LRRC14B
ACC	SDHA	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	586	NM_001294332	chr5	+	218337	257197	218470	256535	14	SDHA
ACC	PDCD6	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	587	NR_073609	chr5	+	271735	277055	277055	277055	3	PDCD6
ACC	AHRR	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	73	NM_020731	chr5	+	304290	438405	304334	434949	12	AHRR
ACC	EXOC3	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	588	NM_007277	chr5	+	443333	467409	446320	467013	13	EXOC3
ACC	CEP72	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	589	NM_018140	chr5	+	612404	653666	612476	653268	12	CEP72
ACC	TRIP13	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	73	NM_004237	chr5	+	892968	918164	893113	917218	13	TRIP13
ACC	NKD2	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	592	NM_001271082	chr5	+	1009076	1038927	1009172	1037783	11	NKD2
ACC	SLC6A19	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	594	NM_001003841	chr5	+	1201709	1225230	1201765	1222019	12	SLC6A19
ACC	SLC6A18	X17.AAG	0.705259795217598	-0.0909606001914938	13	0.164556962025316	594	NM_182632	chr5	+	1225469	1246304	1225592	1246193	12	SLC6A18
ACC	CCDC127	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	586	NM_145265	chr5	-	204874	218297	205411	216964	3	CCDC127
ACC	SLC9A3	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	73	NM_001284351	chr5	-	472100	524549	473493	524437	17	SLC9A3
ACC	MIR4456	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	589	NR_039661	chr5	-	535954	535997	535997	535997	1	MIR4456
ACC	TPPP	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	590	NM_007030	chr5	-	659976	693510	665216	678175	4	TPPP
ACC	ZDHHC11	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	591	NM_024786	chr5	-	795719	851101	801221	850717	13	ZDHHC11
ACC	BRD9	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	591	NR_134296	chr5	-	863849	892637	892637	892637	17	BRD9
ACC	MIR4635	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	593	NR_039778	chr5	-	1063010	1063089	1063089	1063089	1	MIR4635
ACC	SLC12A7	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	593	NM_006598	chr5	-	1050488	1112172	1052474	1112106	24	SLC12A7
ACC	TERT	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	594	NM_001193376	chr5	-	1253286	1295162	1253842	1295104	15	TERT
ACC	PLEKHG4B	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	586	NM_052909	chr5	+	140372	190087	140422	182438	18	PLEKHG4B
ACC	LRRC14B	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	586	NM_001080478	chr5	+	191625	195468	191653	195468	2	LRRC14B
ACC	SDHA	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	586	NM_001294332	chr5	+	218337	257197	218470	256535	14	SDHA
ACC	PDCD6	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	587	NR_073609	chr5	+	271735	277055	277055	277055	3	PDCD6
ACC	AHRR	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	73	NM_020731	chr5	+	304290	438405	304334	434949	12	AHRR
ACC	EXOC3	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	588	NM_007277	chr5	+	443333	467409	446320	467013	13	EXOC3
ACC	CEP72	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	589	NM_018140	chr5	+	612404	653666	612476	653268	12	CEP72
ACC	TRIP13	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	73	NM_004237	chr5	+	892968	918164	893113	917218	13	TRIP13
ACC	NKD2	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	592	NM_001271082	chr5	+	1009076	1038927	1009172	1037783	11	NKD2
ACC	SLC6A19	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	594	NM_001003841	chr5	+	1201709	1225230	1201765	1222019	12	SLC6A19
ACC	SLC6A18	AEW541	0.0369318681672988	-0.0787373953672995	13	0.164556962025316	594	NM_182632	chr5	+	1225469	1246304	1225592	1246193	12	SLC6A18
ACC	CCDC127	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	586	NM_145265	chr5	-	204874	218297	205411	216964	3	CCDC127
ACC	SLC9A3	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	73	NM_001284351	chr5	-	472100	524549	473493	524437	17	SLC9A3
ACC	MIR4456	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	589	NR_039661	chr5	-	535954	535997	535997	535997	1	MIR4456
ACC	TPPP	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	590	NM_007030	chr5	-	659976	693510	665216	678175	4	TPPP
ACC	ZDHHC11	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	591	NM_024786	chr5	-	795719	851101	801221	850717	13	ZDHHC11
ACC	BRD9	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	591	NR_134296	chr5	-	863849	892637	892637	892637	17	BRD9
ACC	MIR4635	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	593	NR_039778	chr5	-	1063010	1063089	1063089	1063089	1	MIR4635
ACC	SLC12A7	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	593	NM_006598	chr5	-	1050488	1112172	1052474	1112106	24	SLC12A7
ACC	TERT	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	594	NM_001193376	chr5	-	1253286	1295162	1253842	1295104	15	TERT
ACC	PLEKHG4B	AZD0530	0.270143447861323	-0.0892515473194675	13	0.164556962025316	586	NM_052909	chr5	+	140372	190087	140422	182438	18	PLEKHG4B
